"","x"
"1524",7038759
"1525",7091246
"1526",7788702
"1527",9346177
"1528",9561321
"1529",9751186
"1530",10417694
"1531",10444135
"1532",10676877
"1533",10968116
"1534",11011477
"1535",11293637
"1536",11464510
"1537",1236022
"1538",13176813
"1539",14480058
"1540",14754953
"1541",15971744
"1542",15995612
"1543",17097471
"1544",17302003
"1545",18185382
"1546",19255219
"1547",19336877
"1548",19710484
"1549",19814092
"1550",19842118
"1551",20357621
"1552",21483279
"1553",2229126
"1554",2235606
"1555",2254524
"1556",22630517
"1557",22672737
"1558",22711148
"1559",22830676
"1560",23685983
"1561",23838415
"1562",24422280
"1563",24431271
"1564",24449308
"1565",24877745
"1566",257758
"1567",25884285
"1568",26422051
"1569",26606994
"1570",27476699
"1571",27545872
"1572",27679252
"1573",2857930
"1574",28776442
"1575",29164080
"1576",29614530
"1577",29724943
"1578",29807068
"1579",30086492
"1580",30168789
"1581",30385058
"1582",30487992
"1583",30611362
"1584",30613063
"1585",30740981
"1586",3125184
"1587",3288346
"1588",3302736
"1589",4085537
"1590",4128133
"1591",4309664
"1592",507228
"1593",554956
"1594",5631304
"1595",5695692
"1596",6459060
"1597",663333
"1598",6909259
"1599",7249657
"1600",7343490
"1601",7353778
"1602",7783465
"1603",9412552
"1604",9624458
"1605",9719895
"1606",9892064
"1607",10148199
"1608",10217084
"1609",10503545
"1610",10670261
"1611",10763132
"1612",10925501
"1613",11913044
"1614",12007344
"1615",12546922
"1616",12694144
"1617",12963884
"1618",13081954
"1619",13312669
"1620",13358416
"1621",13402704
"1622",13718182
"1623",15539556
"1624",15577022
"1625",15930704
"1626",16313122
"1627",16511050
"1628",16623083
"1629",18164151
"1630",19229714
"1631",19993167
"1632",20400975
"1633",21062141
"1634",21064743
"1635",2112919
"1636",21175966
"1637",21313566
"1638",22130775
"1639",22881482
"1640",23971049
"1641",24171424
"1642",24412228
"1643",2458871
"1644",2485970
"1645",25663470
"1646",2652000
"1647",26520431
"1648",26703500
"1649",26724444
"1650",26825172
"1651",27005081
"1652",27143439
"1653",27737771
"1654",27762061
"1655",2783726
"1656",28236550
"1657",28272965
"1658",28494428
"1659",28919237
"1660",29199830
"1661",29209847
"1662",29686442
"1663",30287418
"1664",30421535
"1665",30613064
"1666",30658614
"1667",3166757
"1668",3351959
"1669",3722948
"1670",4125498
"1671",4758964
"1672",5042705
"1673",5348012
"1674",5360441
"1675",5511416
"1676",5618562
"1677",6346868
"1678",7343158
"1679",757259
"1680",8427
"1681",8981997
"1682",9073082
"1683",935459
"1684",9651026
"1685",9830162
"1686",10741335
"1687",11050124
"1688",11457673
"1689",11481559
"1690",11562973
"1691",11728988
"1692",11762719
"1693",12006616
"1694",12057746
"1695",12442045
"1696",12735941
"1697",13375265
"1698",13849791
"1699",14222551
"1700",14461844
"1701",14536607
"1702",15574963
"1703",16147326
"1704",1618895
"1705",1625527
"1706",17032401
"1707",17114004
"1708",17939612
"1709",17958729
"1710",18668405
"1711",18864100
"1712",19713609
"1713",21010527
"1714",21043468
"1715",22308670
"1716",22458205
"1717",23216958
"1718",23565401
"1719",24222365
"1720",26141712
"1721",26447137
"1722",26501758
"1723",26556541
"1724",26568863
"1725",27146202
"1726",27291571
"1727",27527478
"1728",27850640
"1729",28171382
"1730",28340708
"1731",28694878
"1732",28819239
"1733",28971979
"1734",29021585
"1735",29223239
"1736",29498154
"1737",29693689
"1738",29792184
"1739",29835555
"1740",30294880
"1741",30710102
"1742",3164200
"1743",3182426
"1744",3304934
"1745",4935823
"1746",51512
"1747",540241
"1748",5457454
"1749",5753347
"1750",579311
"1751",6238201
"1752",6413846
"1753",66552
"1754",6834786
"1755",6917982
"1756",7320389
"1757",7626966
"1758",9747355
"1759",9783607
"1760",10390363
"1761",10439044
"1762",11210424
"1763",11632787
"1764",11802887
"1765",11935538
"1766",12025328
"1767",12274674
"1768",12380865
"1769",12803397
"1770",12856353
"1771",13211500
"1772",13414541
"1773",13607411
"1774",14940643
"1775",15869697
"1776",15980413
"1777",16035006
"1778",16421629
"1779",17099094
"1780",17108589
"1781",17132483
"1782",17448492
"1783",18156954
"1784",18308496
"1785",18832421
"1786",19315774
"1787",1996011
"1788",20487107
"1789",20542376
"1790",20697401
"1791",21280493
"1792",21427184
"1793",22325636
"1794",22337840
"1795",22364237
"1796",22624580
"1797",22675089
"1798",23072210
"1799",23176099
"1800",2332854
"1801",23564629
"1802",24179833
"1803",24944563
"1804",25578224
"1805",25722098
"1806",25727336
"1807",2578023
"1808",26185427
"1809",26235971
"1810",27176183
"1811",27211561
"1812",29147398
"1813",29276359
"1814",29767525
"1815",29804442
"1816",29810058
"1817",29990888
"1818",30019778
"1819",30087467
"1820",30110479
"1821",30393368
"1822",30394060
"1823",30650380
"1824",30675590
"1825",3399247
"1826",3490399
"1827",3908287
"1828",4015618
"1829",4216020
"1830",4241374
"1831",4375817
"1832",5135254
"1833",6383940
"1834",6525023
"1835",672534
"1836",6741708
"1837",6994168
"1838",7322423
"1839",7589149
"1840",7692261
"1841",9093299
"1842",9947354
"1843",10609596
"1844",10797255
"1845",11473712
"1846",12358104
"1847",13905583
"1848",14150175
"1849",14561520
"1850",14998876
"1851",15688617
"1852",15749853
"1853",15764009
"1854",17191137
"1855",17241555
"1856",17357728
"1857",18322301
"1858",18418503
"1859",18652314
"1860",19068943
"1861",19620253
"1862",19623089
"1863",19700362
"1864",1971785
"1865",20523710
"1866",20723790
"1867",20803197
"1868",21481013
"1869",22088893
"1870",22828709
"1871",23119930
"1872",23492792
"1873",23647169
"1874",23668283
"1875",24251987
"1876",24263407
"1877",25790238
"1878",2625436
"1879",26998426
"1880",27041705
